Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
KP,*,*,0.1,4.161538462
KP,*,*,0.2,5.938461538
KP,*,*,0.4,9.492307692
KP,*,*,0.5,11.26923077
KP,*,*,0.6,13.04615385
KP,*,*,0.8,16.6
KP,*,*,0.9,18.37692308
KP,*,*,1,20.15384615
KP,*,*,1.1,21.93076923
KP,*,*,1.2,23.70769231
KP,*,*,1.3,25.48461538
KP,*,*,1.4,27.26153846
KP,*,*,1.5,29.03846154
KP,*,*,1.6,30.81538462
KP,*,*,1.7,32.59230769
KP,*,*,1.8,34.36923077
KP,*,*,1.9,36.14615385
KP,*,*,2,37.92307692
KP,*,*,2.1,39.7
KP,*,*,2.2,41.47692308
KP,*,*,2.3,43.25384615
KP,*,*,2.4,45.03076923
KP,*,*,2.5,46.80769231
KP,*,*,2.6,48.58461538
KP,*,*,2.7,50.36153846
KP,*,*,2.8,52.13846154
KP,*,*,2.9,53.91538462
KP,*,*,3,55.69230769
KP,*,*,3.1,57.46923077
KP,*,*,3.2,59.24615385
KP,*,*,3.3,61.02307692
KP,*,*,3.4,62.8
KP,*,*,3.5,64.57692308
KP,*,*,3.6,66.35384615
KP,*,*,3.7,68.13076923
KP,*,*,3.8,69.90769231
KP,*,*,3.9,71.68461538
KP,*,*,4,73.46153846
SA,*,*,0.1,4.161538462
SA,*,*,0.2,5.938461538
SA,*,*,0.4,9.492307692
SA,*,*,0.5,11.26923077
SA,*,*,0.6,13.04615385
SA,*,*,0.8,16.6
SA,*,*,0.9,18.37692308
SA,*,*,1,20.15384615
SA,*,*,1.1,21.93076923
SA,*,*,1.2,23.70769231
SA,*,*,1.3,25.48461538
SA,*,*,1.4,27.26153846
SA,*,*,1.5,29.03846154
SA,*,*,1.6,30.81538462
SA,*,*,1.7,32.59230769
SA,*,*,1.8,34.36923077
SA,*,*,1.9,36.14615385
SA,*,*,2,37.92307692
SA,*,*,2.1,39.7
SA,*,*,2.2,41.47692308
SA,*,*,2.3,43.25384615
SA,*,*,2.4,45.03076923
SA,*,*,2.5,46.80769231
SA,*,*,2.6,48.58461538
SA,*,*,2.7,50.36153846
SA,*,*,2.8,52.13846154
SA,*,*,2.9,53.91538462
SA,*,*,3,55.69230769
SA,*,*,3.1,57.46923077
SA,*,*,3.2,59.24615385
SA,*,*,3.3,61.02307692
SA,*,*,3.4,62.8
SA,*,*,3.5,64.57692308
SA,*,*,3.6,66.35384615
SA,*,*,3.7,68.13076923
SA,*,*,3.8,69.90769231
SA,*,*,3.9,71.68461538
SA,*,*,4,73.46153846
SG,*,*,0.1,4.161538462
SG,*,*,0.2,5.938461538
SG,*,*,0.4,9.492307692
SG,*,*,0.5,11.26923077
SG,*,*,0.6,13.04615385
SG,*,*,0.8,16.6
SG,*,*,0.9,18.37692308
SG,*,*,1,20.15384615
SG,*,*,1.1,21.93076923
SG,*,*,1.2,23.70769231
SG,*,*,1.3,25.48461538
SG,*,*,1.4,27.26153846
SG,*,*,1.5,29.03846154
SG,*,*,1.6,30.81538462
SG,*,*,1.7,32.59230769
SG,*,*,1.8,34.36923077
SG,*,*,1.9,36.14615385
SG,*,*,2,37.92307692
SG,*,*,2.1,39.7
SG,*,*,2.2,41.47692308
SG,*,*,2.3,43.25384615
SG,*,*,2.4,45.03076923
