Country,Region/State,Zip/PostAN Code,Weight (and above),shipping fee price
*,*,*,0.1,7.736842106
*,*,*,0.2,10.61538462
*,*,*,0.3,13.49392713
*,*,*,0.4,16.37246964
*,*,*,0.5,19.25101215
*,*,*,0.6,22.12955466
*,*,*,0.7,25.00809717
*,*,*,0.8,27.88663968
*,*,*,0.9,30.76518219
*,*,*,1,33.6437247
*,*,*,1.1,36.52226721
*,*,*,1.2,39.40080972
*,*,*,1.3,42.27935223
*,*,*,1.4,45.15789474
*,*,*,1.5,48.03643725
*,*,*,1.6,50.91497976
*,*,*,1.7,53.79352227
*,*,*,1.8,56.67206478
*,*,*,1.9,59.55060729
*,*,*,2,62.4291498
*,*,*,2.1,65.30769231
*,*,*,2.2,68.18623482
*,*,*,2.3,71.06477733
*,*,*,2.4,73.94331984
*,*,*,2.5,76.82186235
*,*,*,2.6,79.70040486
*,*,*,2.7,82.57894737
*,*,*,2.8,85.45748988
*,*,*,2.9,88.33603239
*,*,*,3,91.2145749
*,*,*,3.1,94.09311741
*,*,*,3.2,96.97165992
*,*,*,3.3,99.85020243
*,*,*,3.4,102.7287449
*,*,*,3.5,105.6072875
*,*,*,3.6,108.48583
*,*,*,3.7,111.3643725
*,*,*,3.8,114.242915
*,*,*,3.9,117.1214575
*,*,*,4,120
*,*,*,4.1,122.8785425
*,*,*,4.2,125.757085
*,*,*,4.3,128.6356275
*,*,*,4.4,131.51417
*,*,*,4.5,134.3927126
*,*,*,4.6,137.2712551
*,*,*,4.7,140.1497976
*,*,*,4.8,143.0283401
*,*,*,4.9,145.9068826
*,*,*,5,148.7854251
*,*,*,5.1,151.6639676
*,*,*,5.2,154.5425102
*,*,*,5.3,157.4210526
*,*,*,5.4,160.2995952
*,*,*,5.5,163.1781377
*,*,*,5.6,166.0566801
*,*,*,5.7,168.9352227
*,*,*,5.8,171.8137652
*,*,*,5.9,174.6923078
*,*,*,6,177.5708502
*,*,*,6.1,180.4493927
*,*,*,6.2,183.3279353
*,*,*,6.3,186.2064777
*,*,*,6.4,189.0850203
*,*,*,6.5,191.9635628
*,*,*,6.6,194.8421052
*,*,*,6.7,197.7206478
*,*,*,6.8,200.5991903
*,*,*,6.9,203.4777329
*,*,*,7,206.3562753
*,*,*,7.1,209.2348178
*,*,*,7.2,212.1133604
*,*,*,7.3,214.9919028
*,*,*,7.4,217.8704454
*,*,*,7.5,220.7489879
*,*,*,7.6,223.6275303
*,*,*,7.7,226.5060729
*,*,*,7.8,229.3846154
*,*,*,7.9,232.263158
*,*,*,8,235.1417004
*,*,*,8.1,238.0202429
*,*,*,8.2,240.8987855
*,*,*,8.3,243.7773279
*,*,*,8.4,246.6558705
*,*,*,8.5,249.534413
*,*,*,8.6,252.4129554
*,*,*,8.7,255.291498
*,*,*,8.8,258.1700405
*,*,*,8.9,261.0485831
*,*,*,9,263.9271255
*,*,*,9.1,266.805668
*,*,*,9.2,269.6842106
*,*,*,9.3,272.562753
*,*,*,9.4,275.4412956
*,*,*,9.5,278.3198381
*,*,*,9.6,281.1983805
*,*,*,9.7,284.0769231
*,*,*,9.8,286.9554656
*,*,*,9.9,289.8340082
*,*,*,10,292.7125506
*,*,*,10.1,295.5910931
*,*,*,10.2,298.4696357
*,*,*,10.3,301.3481781
*,*,*,10.4,304.2267207
*,*,*,10.5,307.1052632
*,*,*,10.6,309.9838056
*,*,*,10.7,312.8623482
*,*,*,10.8,315.7408907
*,*,*,10.9,318.6194333
*,*,*,11,321.4979757
*,*,*,11.1,324.3765182
*,*,*,11.2,327.2550608
*,*,*,11.3,330.1336032
*,*,*,11.4,333.0121458
*,*,*,11.5,335.8906883
*,*,*,11.6,338.7692307
*,*,*,11.7,341.6477733
*,*,*,11.8,344.5263158
*,*,*,11.9,347.4048584
*,*,*,12,350.2834008
*,*,*,12.1,353.1619433
*,*,*,12.2,356.0404859
*,*,*,12.3,358.9190283
*,*,*,12.4,361.7975709
*,*,*,12.5,364.6761134
*,*,*,12.6,367.5546558
*,*,*,12.7,370.4331984
*,*,*,12.8,373.3117409
*,*,*,12.9,376.1902835
*,*,*,13,379.0688259
*,*,*,13.1,381.9473684
*,*,*,13.2,384.825911
*,*,*,13.3,387.7044534
*,*,*,13.4,390.582996
*,*,*,13.5,393.4615385
*,*,*,13.6,396.3400809
*,*,*,13.7,399.2186235
*,*,*,13.8,402.097166
*,*,*,13.9,404.9757086
*,*,*,14,407.854251
*,*,*,14.1,410.7327935
*,*,*,14.2,413.6113361
*,*,*,14.3,416.4898785
*,*,*,14.4,419.3684211
*,*,*,14.5,422.2469636
*,*,*,14.6,425.125506
*,*,*,14.7,428.0040486
*,*,*,14.8,430.8825911
*,*,*,14.9,433.7611337
*,*,*,15,436.6396761
*,*,*,15.1,439.5182186
*,*,*,15.2,442.3967612
*,*,*,15.3,445.2753036
*,*,*,15.4,448.1538462
*,*,*,15.5,451.0323887
*,*,*,15.6,453.9109311
*,*,*,15.7,456.7894737
*,*,*,15.8,459.6680162
*,*,*,15.9,462.5465588
*,*,*,16,465.4251012
*,*,*,16.1,468.3036437
*,*,*,16.2,471.1821863
*,*,*,16.3,474.0607287
*,*,*,16.4,476.9392713
*,*,*,16.5,479.8178138
*,*,*,16.6,482.6963564
*,*,*,16.7,485.5748988
*,*,*,16.8,488.4534413
*,*,*,16.9,491.3319839
*,*,*,17,494.2105263
*,*,*,17.1,497.0890689
*,*,*,17.2,499.9676114
*,*,*,17.3,502.8461538
*,*,*,17.4,505.7246964
*,*,*,17.5,508.6032389
*,*,*,17.6,511.4817815
*,*,*,17.7,514.3603239
*,*,*,17.8,517.2388664
*,*,*,17.9,520.117409
*,*,*,18,522.9959514
*,*,*,18.1,525.874494
*,*,*,18.2,528.7530365
*,*,*,18.3,531.6315789
*,*,*,18.4,534.5101215
*,*,*,18.5,537.388664
*,*,*,18.6,540.2672066
*,*,*,18.7,543.145749
*,*,*,18.8,546.0242915
*,*,*,18.9,548.9028341
*,*,*,19,551.7813765
*,*,*,19.1,554.6599191
*,*,*,19.2,557.5384616
*,*,*,19.3,560.417004
*,*,*,19.4,563.2955466
*,*,*,19.5,566.1740891
*,*,*,19.6,569.0526317
*,*,*,19.7,571.9311741
*,*,*,19.8,574.8097166
*,*,*,19.9,577.6882592
*,*,*,20,580.5668016
*,*,*,20.1,583.4453442
*,*,*,20.2,586.3238867
*,*,*,20.3,589.2024291
*,*,*,20.4,592.0809717
*,*,*,20.5,594.9595142
*,*,*,20.6,597.8380568
*,*,*,20.7,600.7165992
*,*,*,20.8,603.5951417
*,*,*,20.9,606.4736843
*,*,*,21,609.3522267
*,*,*,21.1,612.2307693
*,*,*,21.2,615.1093118
*,*,*,21.3,617.9878542
*,*,*,21.4,620.8663968
*,*,*,21.5,623.7449393
*,*,*,21.6,626.6234819
*,*,*,21.7,629.5020243
*,*,*,21.8,632.3805668
*,*,*,21.9,635.2591094
*,*,*,22,638.1376518
*,*,*,22.1,641.0161944
*,*,*,22.2,643.8947369
*,*,*,22.3,646.7732793
*,*,*,22.4,649.6518219
*,*,*,22.5,652.5303644
*,*,*,22.6,655.408907
*,*,*,22.7,658.2874494
*,*,*,22.8,661.1659919
*,*,*,22.9,664.0445345
*,*,*,23,666.9230769
*,*,*,23.1,669.8016195
*,*,*,23.2,672.680162
*,*,*,23.3,675.5587044
*,*,*,23.4,678.437247
*,*,*,23.5,681.3157895
*,*,*,23.6,684.1943321
*,*,*,23.7,687.0728745
*,*,*,23.8,689.951417
*,*,*,23.9,692.8299596
*,*,*,24,695.708502
*,*,*,24.1,698.5870446
*,*,*,24.2,701.4655871
*,*,*,24.3,704.3441295
*,*,*,24.4,707.2226721
AL,*,*,0.1,6.830769231
AL,*,*,0.2,10.08461538
AL,*,*,0.3,13.33846154
AL,*,*,0.4,16.59230769
AL,*,*,0.5,19.84615385
AL,*,*,0.6,23.1
AL,*,*,0.7,26.35384616
AL,*,*,0.8,29.60769231
AL,*,*,0.9,32.86153847
AL,*,*,1,36.11538462
AL,*,*,1.1,39.36923078
AL,*,*,1.2,42.62307693
AL,*,*,1.3,45.87692307
AL,*,*,1.4,49.13076923
AL,*,*,1.5,52.38461538
AL,*,*,1.6,55.63846154
AL,*,*,1.7,58.89230769
AL,*,*,1.8,62.14615385
AL,*,*,1.9,65.4
AL,*,*,2,68.65384616
AL,*,*,2.1,71.90769231
AL,*,*,2.2,75.16153847
AL,*,*,2.3,78.41538462
AL,*,*,2.4,81.66923078
AL,*,*,2.5,84.92307693
AL,*,*,2.6,88.17692307
AL,*,*,2.7,91.43076923
AL,*,*,2.8,94.68461538
AL,*,*,2.9,97.93846154
AL,*,*,3,101.1923077
AL,*,*,3.1,104.4461538
AL,*,*,3.2,107.7
AL,*,*,3.3,110.9538462
AL,*,*,3.4,114.2076923
AL,*,*,3.5,117.4615385
AL,*,*,3.6,120.7153846
AL,*,*,3.7,123.9692308
AL,*,*,3.8,127.2230769
AL,*,*,3.9,130.4769231
AL,*,*,4,133.7307692
AL,*,*,4.1,136.9846154
AL,*,*,4.2,140.2384615
AL,*,*,4.3,143.4923077
AL,*,*,4.4,146.7461538
AL,*,*,4.5,150
AL,*,*,4.6,153.2538462
AL,*,*,4.7,156.5076923
AL,*,*,4.8,159.7615385
AL,*,*,4.9,163.0153847
AL,*,*,5,166.2692307
AL,*,*,0.1,6.830769231
AL,*,*,0.2,10.08461538
AL,*,*,0.3,13.33846154
AL,*,*,0.4,16.59230769
AL,*,*,0.5,19.84615385
AL,*,*,0.6,23.1
AL,*,*,0.7,26.35384616
